dataset,case_id,selected_case_name,noise_name,case_tag,split,files_total,files_done,files_skipped,n_boxes,mean_iou_noisy,mean_iou_refined,delta_iou,best_pt,out_dir
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_0.6,scale_0.6,train,10,10,0,38,0.3600000032397788,0.4505209306165887,0.09052092737680986,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.6/train"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_0.6,scale_0.6,val,10,10,0,24,0.3599996221750253,0.4590625335979053,0.09906291142287997,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.6/val"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_0.7,scale_0.7,train,10,10,0,38,0.4899993788294097,0.5975262728967712,0.10752689406736145,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.7/train"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_0.7,scale_0.7,val,10,10,0,24,0.4899992284735883,0.6411544105039013,0.15115518203031306,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.7/val"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_0.8,scale_0.8,train,10,10,0,38,0.6399996733416798,0.7294799617867965,0.08948028844511668,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.8/train"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_0.8,scale_0.8,val,10,10,0,24,0.640000226395925,0.7504042363525456,0.11040400995662059,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.8/val"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_0.9,scale_0.9,train,10,10,0,38,0.8099979324273675,0.8547065693468482,0.04470863691948068,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.9/train"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_0.9,scale_0.9,val,10,10,0,24,0.8100014150974215,0.8537782761235458,0.04377686102612429,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.9/val"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_1.1,scale_1.1,train,10,10,0,38,0.8349464301221027,0.8770385581257504,0.042092128003647686,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_1.1/train"
kitti,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn10_ctx1_dist1_L1+M1+E1,labels_scale_1.1,scale_1.1,val,10,10,0,24,0.829562738308124,0.8736566662164996,0.04409392790837563,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(10)/weights/kitti/set_densenet_noisy2clean/absn_0010_ctx1/d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(10)/refines/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(10)__weights__kitti__set_densenet_noisy2clean__absn_0010_ctx1__d512_h8_l2_dist1_share0_wL1_wM1_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_1.1/val"
