dataset,seed_req,seed_ckpt,seed_dir,case_id,selected_case_name,noise_name,case_tag,split,files_total,files_done,files_skipped,n_boxes,mean_iou_noisy,mean_iou_refined,delta_iou,best_pt,out_dir
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_0.6,scale_0.6,train,50,50,0,216,0.3599995810894318,0.8865076715407056,0.5265080904512738,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.6/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_0.6,scale_0.6,val,50,50,0,214,0.3599999880119575,0.8754063051679566,0.5154063171559992,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.6/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_0.7,scale_0.7,train,50,50,0,216,0.4899994456250383,0.8493791715747762,0.3593797259497379,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.7/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_0.7,scale_0.7,val,50,50,0,214,0.48999930419357585,0.8381086935020614,0.34810938930848556,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.7/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_0.8,scale_0.8,train,50,50,0,216,0.6400005922691868,0.8235190150276657,0.18351842275847882,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.8/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_0.8,scale_0.8,val,50,50,0,214,0.6400001524264674,0.8253535618577822,0.18535340943131487,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.8/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_0.9,scale_0.9,train,50,50,0,216,0.8099993748719574,0.8154194383589684,0.005420063487011019,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.9/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_0.9,scale_0.9,val,50,50,0,214,0.809999584718954,0.8093272670347861,-0.0006723176841678523,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.9/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_1.1,scale_1.1,train,50,50,0,216,0.833837207344184,0.8096826399015792,-0.024154567442604774,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_1.1/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn50_ctx1_dist0_E1,labels_scale_1.1,scale_1.1,val,50,50,0,214,0.834049866010899,0.7936022935105331,-0.04044757250036591,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(50)/weights/kitti/set_densenet_noisy2clean/absn_0050_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(50)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(50)__weights__kitti__set_densenet_noisy2clean__absn_0050_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_1.1/val"
