dataset,case_id,noise_name,split,mean_iou_noisy,mean_iou_refined,delta_iou
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,train,0.359999924,0.550346742,0.190346818
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,val,0.359999573,0.548594368,0.188594796
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,train,0.489999751,0.685930929,0.195931178
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,val,0.48999961,0.685277873,0.195278263
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,train,0.639999887,0.737636675,0.097636788
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,val,0.639999733,0.739422785,0.099423052
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,train,0.809999794,0.749532931,-0.060466863
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,val,0.809999584,0.750601145,-0.05939844
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,train,0.833458741,0.754819196,-0.078639545
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,val,0.83368268,0.756145625,-0.077537055
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,train,0.706827656,0.750453179,0.043625523
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,val,0.707147389,0.751185912,0.044038523
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,train,0.607809377,0.739801679,0.131992303
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,val,0.608140569,0.741190338,0.133049769
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,train,0.528850957,0.721449506,0.192598549
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,val,0.529199844,0.72357823,0.194378386
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,train,0.755041699,0.747589167,-0.007452533
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,val,0.755333234,0.747702975,-0.007630259
kitti,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,train,0.607593807,0.712809445,0.105215639
