dataset,model,case,labels_dir,class_mode,single_cls,split_mode,effective_batch,effective_imgsz,train_val_during_train,eval_weight_pick,eval_weight_path,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),clean_eval_yaml
kitti,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.6388655263773314,0.3745440312207757,0.6922575602193017,0.5884169399866541,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.6107623882645974,0.3663620793280205,0.7163400411900385,0.5329283169735012,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.6215848033878411,0.3181363326177196,0.6629181983508743,0.5816738604594092,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.6181197324156678,0.31980979283259187,0.6700383128054475,0.5594101699853049,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.6212536672079291,0.3422939153482648,0.7329929030247901,0.5401688632302832,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.5979955434495329,0.3277178708484322,0.6890732287070352,0.5402475523790428,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.5738676817411166,0.30098770417036613,0.662233994731489,0.5286476903615271,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.6178354537371491,0.3374008679604378,0.7108290112273212,0.5494975524689435,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.6292666054779921,0.34891322883525566,0.6914136384476506,0.5753827682389453,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolo11n__side_1__multiclass__DIRECT/weights/last.pt,0.6064044312469872,0.34567332226084724,0.6583648396434075,0.5602866396647367,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolov8n__side_5__multiclass__DIRECT/weights/last.pt,0.6226837401737033,0.379571909034447,0.701293843216183,0.5526875249116987,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolo11n__side_5__multiclass__DIRECT/weights/last.pt,0.5910170044188635,0.3608935209298977,0.6967167583156681,0.5375404771155323,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolov8n__side_9__multiclass__DIRECT/weights/last.pt,0.6378652406942087,0.38943495846057674,0.7222009159593984,0.5711170509770134,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/kitti/yolo11n__side_9__multiclass__DIRECT/weights/last.pt,0.5854971274531139,0.3637471931897026,0.656831830624093,0.5271787154950522,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/kitti/data_eval_clean.yaml
homeobjects-3K,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.14772393024746147,0.04334373172025378,0.23789342394960045,0.21318473595725992,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.13814035864760058,0.03910164440579168,0.23498016527782517,0.2316528048870171,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.12092887685099657,0.02999139918744236,0.22435167596232633,0.20583495635132087,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.1221681694124785,0.03164807891734466,0.23010553128148659,0.18546247742257663,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.5855223608151144,0.34256542033456105,0.6520393817946045,0.5186516387642865,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.08841132894768738,0.020782918271286407,0.1714218536879265,0.15973145880557907,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.078823064657081,0.017623176714047242,0.1390520188502641,0.19993846374189686,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.07468913135119143,0.017003823564807275,0.15065687239136444,0.14794909815740018,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.6101299185830465,0.3917797966501166,0.6404419073262183,0.5954152688300465,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/homeobjects-3K/yolo11n__side_1__multiclass__DIRECT/weights/last.pt,0.1470194804334275,0.0479346340900012,0.25452299091236924,0.2268553287660483,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/homeobjects-3K/data_eval_clean.yaml
