dataset,model,case,labels_dir,class_mode,single_cls,split_mode,effective_batch,effective_imgsz,train_val_during_train,eval_weight_pick,eval_weight_path,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),clean_eval_yaml
kitti,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.4061793412197487,0.12308092701222954,0.508084350732877,0.42464539135997187,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.3993640753647895,0.124944195294165,0.473288848696916,0.39834466960998716,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.6215848033878411,0.3181363326177196,0.6629181983508743,0.5816738604594092,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.5146715087718181,0.26955988691741756,0.6077695791681905,0.5034197176455075,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.496697645604919,0.26041071234531404,0.6379353073680772,0.49254181067574276,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.47282284142863445,0.23341024782054234,0.5975243190608782,0.4850297855849533,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.46262110827945374,0.2506245817752225,0.5628838085877628,0.4761121603070041,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.48095270804270207,0.2527205227050179,0.6195366435404241,0.47161302165166163,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.5072905771195644,0.24495091596265056,0.5978617287839149,0.5194429163948877,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolo11n__side_1__multiclass__DIRECT/weights/last.pt,0.4870750511956832,0.23750362738716868,0.6021082033437793,0.5006096350896426,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolov8n__side_5__multiclass__DIRECT/weights/last.pt,0.4768239336023859,0.2329817174984373,0.5781586411511921,0.47223598123876104,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolo11n__side_5__multiclass__DIRECT/weights/last.pt,0.47118147212752354,0.22777019583483918,0.6267163041672472,0.44553838986654604,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolov8n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolov8n__side_9__multiclass__DIRECT/weights/last.pt,0.373524218319792,0.1806202901331599,0.5152055900865631,0.37855167166166337,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
kitti,yolo11n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/kitti/yolo11n__side_9__multiclass__DIRECT/weights/last.pt,0.35537318049835465,0.16512900298221736,0.5260519704510326,0.3538591787722505,/home/ISW/project/object_detect_refine_sam/_yamls/kitti/data_eval_clean.yaml
homeobjects-3K,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.22423106228638653,0.0615298644187023,0.31843810212813844,0.2839360741242339,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.22560461425139514,0.06246029930579706,0.29060067072336077,0.2747376328114654,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.6327242266152275,0.35731779570313915,0.6927109204178876,0.5680419211815014,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.22560461425139514,0.06246029930579706,0.29060067072336077,0.2747376328114654,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.6329329412337823,0.4259782882966539,0.6326889024132352,0.6024470904119993,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
homeobjects-3K,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_sam/homeobjects-3K/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.6155348747186237,0.4099014353657597,0.6390675338089924,0.5568268810153263,/home/ISW/project/object_detect_refine_sam/_yamls/homeobjects-3K/data_eval_clean.yaml
