dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
kitti,yolov8n,original,labels,multiclass,explicit,1,5985,5985,32,640,0.681283935,0.431348638,0.727576384,0.624237607
kitti,detr,original,labels,multiclass,explicit,1,5985,5985,4,640,0.867244253,0.626275723,0.885623898,0.802290686
kitti,yolov8n,original,labels,object_only,explicit,1,5985,5985,32,640,0.849346115,0.574581152,0.893391387,0.730068898
kitti,detr,original,labels,object_only,explicit,1,5985,5985,4,640,0.947387545,0.734461256,0.914509541,0.884415142
kitti,yolov8n,scale_0.6,labels_scale_0.6,multiclass,explicit,1,5985,5985,32,640,0.01680344,0.002979584,0.04685691,0.087911133
kitti,detr,scale_0.6,labels_scale_0.6,multiclass,explicit,1,5985,5985,4,640,0.008139459,0.001378113,0.15677987,0.039224221
kitti,yolov8n,scale_0.6,labels_scale_0.6,object_only,explicit,1,5985,5985,32,640,0.015060655,0.002296355,0.056073048,0.098425197
kitti,detr,scale_0.6,labels_scale_0.6,object_only,explicit,1,5985,5985,4,640,0.007561992,0.001223172,0.025887029,0.087844488
kitti,yolov8n,scale_0.7,labels_scale_0.7,multiclass,explicit,1,5985,5985,32,640,0.228109044,0.033482562,0.344849861,0.340616924
kitti,detr,scale_0.7,labels_scale_0.7,multiclass,explicit,1,5985,5985,4,640,0.29046985,0.03788325,0.450241097,0.421692501
kitti,yolov8n,scale_0.7,labels_scale_0.7,object_only,explicit,1,5985,5985,32,640,0.265575404,0.037440421,0.423450143,0.41203248
kitti,detr,scale_0.7,labels_scale_0.7,object_only,explicit,1,5985,5985,4,640,0.271508868,0.033213584,0.477647896,0.428633196
kitti,yolov8n,scale_0.8,labels_scale_0.8,multiclass,explicit,1,5985,5985,32,640,0.637287721,0.197693127,0.713792784,0.55786497
kitti,detr,scale_0.8,labels_scale_0.8,multiclass,explicit,1,5985,5985,4,640,0.819011411,0.238876266,0.836174133,0.766045911
kitti,yolov8n,scale_0.8,labels_scale_0.8,object_only,explicit,1,5985,5985,32,640,0.813563933,0.24224525,0.855123112,0.701894685
kitti,detr,scale_0.8,labels_scale_0.8,object_only,explicit,1,5985,5985,4,640,0.883719306,0.280724944,0.879700936,0.811513309
kitti,yolov8n,scale_0.9,labels_scale_0.9,multiclass,explicit,1,5985,5985,32,640,0.655595089,0.33859925,0.671247773,0.614401829
kitti,detr,scale_0.9,labels_scale_0.9,multiclass,explicit,1,5985,5985,4,640,0.874582414,0.481013114,0.883413095,0.808479756
kitti,yolov8n,scale_0.9,labels_scale_0.9,object_only,explicit,1,5985,5985,32,640,0.849431772,0.470814001,0.890391125,0.727583412
kitti,detr,scale_0.9,labels_scale_0.9,object_only,explicit,1,5985,5985,4,640,0.939049279,0.564548704,0.91378749,0.87631551
kitti,yolov8n,scale_1.1,labels_scale_1.1,multiclass,explicit,1,5985,5985,32,640,0.66928395,0.345941759,0.744456442,0.5969334
kitti,detr,scale_1.1,labels_scale_1.1,multiclass,explicit,1,5985,5985,4,640,0.879594043,0.518337641,0.886298974,0.81978657
kitti,yolov8n,scale_1.1,labels_scale_1.1,object_only,explicit,1,5985,5985,32,640,0.8442449,0.459475756,0.88869732,0.745324803
kitti,detr,scale_1.1,labels_scale_1.1,object_only,explicit,1,5985,5985,4,640,0.943035098,0.576827988,0.909165276,0.88324311
kitti,yolov8n,scale_1.2,labels_scale_1.2,multiclass,explicit,1,5985,5985,32,640,0.629490479,0.214229126,0.718346247,0.563900753
kitti,detr,scale_1.2,labels_scale_1.2,multiclass,explicit,1,5985,5985,4,640,0.857422823,0.347512978,0.85270419,0.802148596
kitti,yolov8n,scale_1.2,labels_scale_1.2,object_only,explicit,1,5985,5985,32,640,0.80053753,0.284857784,0.872818887,0.693203873
kitti,detr,scale_1.2,labels_scale_1.2,object_only,explicit,1,5985,5985,4,640,0.938604671,0.396260936,0.919042308,0.875492126
kitti,yolov8n,scale_1.3,labels_scale_1.3,multiclass,explicit,1,5985,5985,32,640,0.526467214,0.115713765,0.614475445,0.518418704
kitti,detr,scale_1.3,labels_scale_1.3,multiclass,explicit,1,5985,5985,4,640,0.816846542,0.206780611,0.854578168,0.750492266
kitti,yolov8n,scale_1.3,labels_scale_1.3,object_only,explicit,1,5985,5985,32,640,0.658627246,0.162749362,0.749448945,0.579847441
kitti,detr,scale_1.3,labels_scale_1.3,object_only,explicit,1,5985,5985,4,640,0.880791665,0.221611263,0.881058361,0.808932087
kitti,yolov8n,scale_1.4,labels_scale_1.4,multiclass,explicit,1,5985,5985,32,640,0.283660836,0.055204196,0.389573091,0.33306568
kitti,detr,scale_1.4,labels_scale_1.4,multiclass,explicit,1,5985,5985,4,640,0.507897906,0.087698993,0.676602507,0.526315316
kitti,yolov8n,scale_1.4,labels_scale_1.4,object_only,explicit,1,5985,5985,32,640,0.447301423,0.077065356,0.58576642,0.470718504
kitti,detr,scale_1.4,labels_scale_1.4,object_only,explicit,1,5985,5985,4,640,0.62102841,0.094748915,0.714052927,0.624630906
homeobjects-3K,yolov8n,original,labels,multiclass,explicit,1,2285,2285,32,640,0.642030553,0.454655189,0.657315331,0.603363287
homeobjects-3K,detr,original,labels,multiclass,explicit,1,2285,2285,4,640,0.750860196,0.551600134,0.776111524,0.68204262
homeobjects-3K,yolov8n,original,labels,object_only,explicit,1,2285,2285,32,640,0.749739951,0.508672103,0.721769888,0.677809798
homeobjects-3K,detr,original,labels,object_only,explicit,1,2285,2285,4,640,0.791566369,0.560235301,0.744969591,0.731538002
homeobjects-3K,yolov8n,scale_0.6,labels_scale_0.6,multiclass,explicit,1,2285,2285,32,640,0.025616907,0.002847514,0.088202363,0.032962557
homeobjects-3K,detr,scale_0.6,labels_scale_0.6,multiclass,explicit,1,2285,2285,4,640,0.017632543,0.002564044,0.045877011,0.052345498
homeobjects-3K,yolov8n,scale_0.6,labels_scale_0.6,object_only,explicit,1,2285,2285,32,640,0.018906541,0.003143462,0.04673254,0.114121037
homeobjects-3K,detr,scale_0.6,labels_scale_0.6,object_only,explicit,1,2285,2285,4,640,0.01049679,0.002340036,0.04820045,0.063976945
homeobjects-3K,yolov8n,scale_0.7,labels_scale_0.7,multiclass,explicit,1,2285,2285,32,640,0.190166467,0.02621065,0.293281209,0.289979436
homeobjects-3K,detr,scale_0.7,labels_scale_0.7,multiclass,explicit,1,2285,2285,4,640,0.308837308,0.04670581,0.43003244,0.403783063
homeobjects-3K,yolov8n,scale_0.7,labels_scale_0.7,object_only,explicit,1,2285,2285,32,640,0.24536172,0.034281538,0.389533552,0.371181556
homeobjects-3K,detr,scale_0.7,labels_scale_0.7,object_only,explicit,1,2285,2285,4,640,0.27369135,0.03821708,0.41678764,0.426512968
