dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
kitti,yolov8n,side_1,labels_side_1,multiclass,explicit,1,5985,5985,32,640,0.6475407,0.378997071,0.696788916,0.600594734
kitti,yolo11n,side_1,labels_side_1,multiclass,explicit,1,5985,5985,32,640,0.630809854,0.36837381,0.716647818,0.563120053
kitti,detr,side_1,labels_side_1,multiclass,explicit,1,5985,5985,4,640,0.866085758,0.563603449,0.852118963,0.806341814
kitti,yolov8n,side_1,labels_side_1,object_only,explicit,1,5985,5985,32,640,0.831503173,0.531440952,0.873298717,0.714867731
kitti,yolo11n,side_1,labels_side_1,object_only,explicit,1,5985,5985,32,640,0.820612203,0.523679643,0.854035256,0.703863189
kitti,detr,side_1,labels_side_1,object_only,explicit,1,5985,5985,4,640,0.929554076,0.667957861,0.908007338,0.858882874
kitti,yolov8n,side_3,labels_side_3,multiclass,explicit,1,5985,5985,32,640,0.348591238,0.150551157,0.369182492,0.449231694
kitti,yolo11n,side_3,labels_side_3,multiclass,explicit,1,5985,5985,32,640,0.352164607,0.151104722,0.392142785,0.414887885
kitti,detr,side_3,labels_side_3,multiclass,explicit,1,5985,5985,4,640,0.795021758,0.456274702,0.787025079,0.749073314
kitti,yolov8n,side_3,labels_side_3,object_only,explicit,1,5985,5985,32,640,0.442252016,0.207036464,0.395559945,0.520608289
kitti,yolo11n,side_3,labels_side_3,object_only,explicit,1,5985,5985,32,640,0.431958667,0.194884647,0.38666953,0.515625
kitti,detr,side_3,labels_side_3,object_only,explicit,1,5985,5985,4,640,0.817482981,0.500726405,0.842007833,0.689127527
kitti,yolov8n,side_5,labels_side_5,multiclass,explicit,1,5985,5985,32,640,0.166121445,0.040884814,0.180208762,0.349120183
kitti,yolo11n,side_5,labels_side_5,multiclass,explicit,1,5985,5985,32,640,0.168970908,0.039601499,0.311707229,0.30964439
kitti,detr,side_5,labels_side_5,multiclass,explicit,1,5985,5985,4,640,0.295537526,0.054901226,0.258071306,0.566801883
kitti,yolov8n,side_5,labels_side_5,object_only,explicit,1,5985,5985,32,640,0.22786059,0.055439649,0.154279021,0.59128937
kitti,yolo11n,side_5,labels_side_5,object_only,explicit,1,5985,5985,32,640,0.215353569,0.05429728,0.217196039,0.364419291
kitti,detr,side_5,labels_side_5,object_only,explicit,1,5985,5985,4,640,0.304667839,0.082767111,0.144256556,0.726870079
kitti,yolov8n,side_7,labels_side_7,multiclass,explicit,1,5985,5985,32,640,0.159634639,0.033191702,0.182033024,0.360874409
kitti,yolo11n,side_7,labels_side_7,multiclass,explicit,1,5985,5985,32,640,0.176830203,0.037134253,0.333069403,0.291403986
kitti,detr,side_7,labels_side_7,multiclass,explicit,1,5985,5985,4,640,0.253387394,0.048211994,0.262190375,0.508780506
kitti,yolov8n,side_7,labels_side_7,object_only,explicit,1,5985,5985,32,640,0.231989149,0.054797881,0.169324063,0.578125
kitti,yolo11n,side_7,labels_side_7,object_only,explicit,1,5985,5985,32,640,0.198905288,0.053290656,0.157459311,0.504552165
kitti,detr,side_7,labels_side_7,object_only,explicit,1,5985,5985,4,640,0.243561781,0.050113124,0.193788083,0.606299213
kitti,yolov8n,side_9,labels_side_9,multiclass,explicit,1,5985,5985,32,640,0.065445282,0.013832079,0.29936028,0.236331801
kitti,yolo11n,side_9,labels_side_9,multiclass,explicit,1,5985,5985,32,640,0.048976658,0.008782356,0.119766188,0.340712703
kitti,detr,side_9,labels_side_9,multiclass,explicit,1,5985,5985,4,640,0.073068201,0.016184659,0.077443284,0.292507988
kitti,yolov8n,side_9,labels_side_9,object_only,explicit,1,5985,5985,32,640,0.087083075,0.017682751,0.137345189,0.201279528
kitti,yolo11n,side_9,labels_side_9,object_only,explicit,1,5985,5985,32,640,0.074933227,0.012604467,0.059857268,0.526820866
kitti,detr,side_9,labels_side_9,object_only,explicit,1,5985,5985,4,640,0.089648433,0.016792092,0.089620068,0.375984252
homeobjects-3K,yolov8n,side_1,labels_side_1,multiclass,explicit,1,2285,2285,32,640,0.601437249,0.386193959,0.65941023,0.574059556
homeobjects-3K,yolo11n,side_1,labels_side_1,multiclass,explicit,1,2285,2285,32,640,0.616276332,0.398160731,0.667777853,0.559981125
homeobjects-3K,detr,side_1,labels_side_1,multiclass,explicit,1,2285,2285,4,640,0.723032826,0.521886814,0.738488469,0.700543198
homeobjects-3K,yolov8n,side_1,labels_side_1,object_only,explicit,1,2285,2285,32,640,0.717994008,0.447794432,0.725762269,0.64351585
homeobjects-3K,yolo11n,side_1,labels_side_1,object_only,explicit,1,2285,2285,32,640,0.720781478,0.4502899,0.729395885,0.643227666
homeobjects-3K,detr,side_1,labels_side_1,object_only,explicit,1,2285,2285,4,640,0.793207379,0.533638971,0.763031461,0.729682997
homeobjects-3K,yolov8n,side_3,labels_side_3,multiclass,explicit,1,2285,2285,32,640,0.333732889,0.141546501,0.348891588,0.385828273
homeobjects-3K,yolo11n,side_3,labels_side_3,multiclass,explicit,1,2285,2285,32,640,0.350002771,0.143098824,0.404721269,0.402718518
homeobjects-3K,detr,side_3,labels_side_3,multiclass,explicit,1,2285,2285,4,640,0.566486174,0.371931753,0.561385897,0.576015306
homeobjects-3K,yolov8n,side_3,labels_side_3,object_only,explicit,1,2285,2285,32,640,0.261942281,0.110825769,0.260284942,0.478386167
homeobjects-3K,yolo11n,side_3,labels_side_3,object_only,explicit,1,2285,2285,32,640,0.250905485,0.10575207,0.271971382,0.453314121
homeobjects-3K,detr,side_3,labels_side_3,object_only,explicit,1,2285,2285,4,640,0.570093962,0.307831518,0.60672593,0.516138329
homeobjects-3K,yolov8n,side_5,labels_side_5,multiclass,explicit,1,2285,2285,32,640,0.167277044,0.038470969,0.277019697,0.277902703
homeobjects-3K,yolo11n,side_5,labels_side_5,multiclass,explicit,1,2285,2285,32,640,0.160609363,0.039178899,0.281112105,0.265342205
homeobjects-3K,detr,side_5,labels_side_5,multiclass,explicit,1,2285,2285,4,640,0.203274307,0.110105707,0.539199263,0.25118636
homeobjects-3K,yolov8n,side_5,labels_side_5,object_only,explicit,1,2285,2285,32,640,0.124388988,0.028097683,0.046719318,0.731988473
homeobjects-3K,yolo11n,side_5,labels_side_5,object_only,explicit,1,2285,2285,32,640,0.114282845,0.028512791,0.039942011,0.762824207
homeobjects-3K,detr,side_5,labels_side_5,object_only,explicit,1,2285,2285,4,640,0.166017282,0.056535686,0.166394439,0.368299712
homeobjects-3K,yolov8n,side_7,labels_side_7,multiclass,explicit,1,2285,2285,32,640,0.1575544,0.034133122,0.280855893,0.273302338
homeobjects-3K,yolo11n,side_7,labels_side_7,multiclass,explicit,1,2285,2285,32,640,0.145052081,0.032235697,0.311407771,0.24705215
homeobjects-3K,detr,side_7,labels_side_7,multiclass,explicit,1,2285,2285,4,640,0.132013835,0.067924321,0.551301094,0.231512653
homeobjects-3K,yolov8n,side_7,labels_side_7,object_only,explicit,1,2285,2285,32,640,0.129247637,0.027158913,0.03964747,0.747838617
homeobjects-3K,yolo11n,side_7,labels_side_7,object_only,explicit,1,2285,2285,32,640,0.098726305,0.024188408,0.031902823,0.654755043
homeobjects-3K,detr,side_7,labels_side_7,object_only,explicit,1,2285,2285,4,640,0.170650597,0.059840533,0.188511701,0.357925072
homeobjects-3K,yolov8n,side_9,labels_side_9,multiclass,explicit,1,2285,2285,32,640,0.043315954,0.013279743,0.012262799,0.374583633
homeobjects-3K,yolo11n,side_9,labels_side_9,multiclass,explicit,1,2285,2285,32,640,0.031162084,0.007717222,0.008122977,0.330606184
homeobjects-3K,detr,side_9,labels_side_9,multiclass,explicit,1,2285,2285,4,640,0.094160311,0.037614179,0.26965359,0.21061739
homeobjects-3K,yolov8n,side_9,labels_side_9,object_only,explicit,1,2285,2285,32,640,0.04034098,0.008162826,0.018646839,0.647550432
homeobjects-3K,yolo11n,side_9,labels_side_9,object_only,explicit,1,2285,2285,32,640,0.036272535,0.008010421,0.01862288,0.650432277
homeobjects-3K,detr,side_9,labels_side_9,object_only,explicit,1,2285,2285,4,640,0.043011643,0.013058913,0.054835068,0.26685879
african-wildlife,yolov8n,side_1,labels_side_1,multiclass,explicit,1,1052,1052,32,640,0.918899916,0.65703675,0.932642649,0.831413669
african-wildlife,yolo11n,side_1,labels_side_1,multiclass,explicit,1,1052,1052,32,640,0.900755881,0.647395684,0.903420783,0.81830485
african-wildlife,detr,side_1,labels_side_1,multiclass,explicit,1,1052,1052,4,640,0.894001766,0.724900821,0.886552623,0.856982571
african-wildlife,yolov8n,side_1,labels_side_1,object_only,explicit,1,1052,1052,32,640,0.935257276,0.645013107,0.943174678,0.841688654
african-wildlife,yolo11n,side_1,labels_side_1,object_only,explicit,1,1052,1052,32,640,0.919380434,0.630699484,0.905861113,0.846965699
